,Subj_Pred,Obj,Obj_true,PMID
23,the concentration of androgen required,[start] to prevent the disease [end],[start] for maximal stimulation of the receptor [end],24384911
24,71 investigators focused,[start] on the disease [end],[start] on a variety of other fields including ovarian cancer [end],28925066
25,This review discusses,[start] the risk of gastric cancer [end],[start] the oncologic rationale for focal therapy in localized prostate cancer [end],32558805
26,PET scans have shown to perform well,[start] in the field of imaging examination for women [end],[start] in the restaging of this category of patients [end],30684842
27,an area of emerging focus might help,[start] a new [UNK] [end],[start] optimize therapeutic dietary response in the future through personalization [end],30893147
28,the most pertinent problems stemming,[start] the [UNK] [end],[start] from the extreme heterogeneity of prostate cancer [end],29393241
29,Purpose of review summarizes,[start] the potential for identifying specific characteristics [end],[start] the rapid progress being made in treatment of advanced prostate cancer [end],30925537
30,advanced disease does not respond,[start] to the disease [end],[start] to androgen deprivation therapy [end],18786842
31,cure is,[start] a major [UNK] the [UNK] of the [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] no longer achievable therapeutic approaches for increase of survival are needed a situation [end],26728408
32,the proportion of prostate cancer is,[start] [UNK] [end],[start] small To date [end],27986209
33,Results included,[start] the [UNK] of the [UNK] of [UNK] therapy [end],[start] new treatment strategies for the role of extracellular vesicles in their potential as biomarkers [end],31825540
34,Androgen deprivation therapy is,[start] the most important treatment for the disease [end],[start] the mainstay treatment for patients with prostate cancer [end],24274615
35,chemotherapy to treat,[start] the disease [end],[start] dogs with prostate cancer [end],18786842
36,clinical trials were conducted,[start] in the [UNK] of [UNK] [end],"[start] over the course of the last decade , first among patients with castration resistant prostate cancer , then among those with hormone - sensitive disease [end]",32462838
37,"""""""""""""""""""""""""""""""This """""""""""""""""""""""""""""""" middle ground """""""""""""""""""""""""""""""" of therapy , between active surveillance and whole - gland treatment"""""""""""""""""""""""""""""" is appealing",[start] the same mutation in the prion gene in quanto1 families [end],[start] to patients because the risk for side effects is believed to be lower with focal therapy than with whole - gland treatment [end],32558805
38,novel liquid biopsy approaches might support,[start] the current [UNK] [UNK] [UNK] [end],[start] an individual patient - centred oncological approach in the nearer future [end],29198331
39,bacterial strains have been engineered,[start] cancer [end],[start] to express cancer - specific prodrug - converting cytokines [end],30324354
40,many elements regarding the management of patients with prostate cancer remain,[start] [UNK] [end],[start] enigmatic [end],21479346
41,accessibility for transcriptional regulation play,[start] an important role in the development of lung cancer [end],[start] key roles in prostate cancer initiation still [end],32139297
42,a clinical case managed,[start] to the [UNK] of [UNK] [UNK] [UNK] [end],[start] at our institution [end],28882782
43,HDRBT in prostate cancer can be practiced safely,[start] still in us [end],[start] within the context of these guidelines with the main indication [end],23773409
44,a matrigel plug containing,[start] a report on the news conference in the world focusing on hyperglycemia resistance as major underlying causes of this disorder,[start] human prostatic stroma [end],17939301
45,The improvement in quality of life with TTh understood,[start] in the [UNK] [end],[start] while the argument for significantly increased risk of cancer or other adverse effects is much less robust [end],29961247
46,Surgery has been limited,[start] by the public health care [UNK] [end],[start] by the aggressive nature of the disease [end],18786842
47,This article addresses,[start] the [UNK] [UNK] [UNK] in the [UNK] of the [UNK] [UNK] [end],"[start] surgical aspects germane to the management of men with prostate cancer , including patient selection for minimization of positive surgical margins [end]",24188255
48,teachers to obtain,[start] a new method of research [end],[start] updated information on new therapies including new updated clinical trials [end],30229546
49,more cancers being detected,[start] in the [UNK] [end],[start] at a lower stage [end],17432554
50,all of which have shown,[start] that you can not have a major disease [end],[start] significant improvement on overall survival [end],29266472
51,receptors belonging,[start] to the [UNK] [UNK] [end],[start] to the a hydrolyzing enzyme [end],21912423
52,the poor specificity of the PSA test in men with benign prostatic hyperplasia leads,[start] to the most important ongoing results [end],[start] to high rates of prostate biopsy [end],17432554
53,how epigenetic change regulates,[start] the risk of gastric cancer in men in the [UNK] [end],[start] the progression of the interaction between epigenetic modulators [end],32139297
54,The combination of long - term androgen deprivation therapy has been shown,[start] for the treatment of type 2 diabetes [end],[start] in multiple clinical trials to prolong overall survival in men with high - risk prostate cancer compared with either treatment alone [end],25708578
55,Results included,[start] the [UNK] of the [UNK] of [UNK] therapy [end],[start] new treatment strategies for targeted therapies [end],31825540
56,mCRPC represents,[start] a major cause of the [UNK] of [UNK] [end],[start] a situation where cure is no longer novel therapeutic approaches for palliation are needed [end],26728408
57,Antibody - based targeted immunotherapy and dendritic - cell - based vaccination are,[start] important [end],[start] among the therapies [end],30324354
58,This failure of androgen deprivation is related,[start] to the management of lung cancer [end],[start] to the emergence of splice variants of the androgen receptor [end],28945566
59,endocrine function implicated,[start] in the development of lung cancer [end],[start] by the importance of endocrine function in the treatment of prostate cancer [end],6387660
60,novel agents that target certain biological pathways to highlight,[start] the pathophysiology of specific cardiovascular disease such as [UNK] [end],[start] the likely future directions for progress in the clinical management of advanced prostate cancer [end],32209821
61,The importance of long non-coding RNAs ( lncRNAs ) in the pathogenesis of various malignancies has been uncovered,[start] in the [UNK] [end],[start] over the last few years [end],28241429
62,This review highlights,[start] the current [UNK] of cardiovascular disease available [end],[start] the most important studies on elastography to follow the improvements [end],24452740
63,most patients experience,[start] a new treatment strategies for the [UNK] of the [UNK] of [UNK] [end],[start] resistant to disease progression eventually [end],30374010
64,"These advances , along with an improved understanding of the adaptive responses to immunotherapy are catalyzing",[start] in the past 20 years on account of its clinical application advantages such as [UNK] invasive visual or [UNK] [end],[start] development of more effective therapeutic strategies for advanced disease [end],30181359
65,Effective diagnostic investigation decisions require,[start] the [UNK] [end],"[start] additional factors , above , for a more individual treatment approach [end]",31466098
66,tumor profiling technologies include,[start] [UNK] immune system to treat [UNK] [end],"[start] next - generation sequencing , epigenetic , transcriptomic methods [end]",28635333
67,Accumulated evidence shows,[start] that [UNK] [UNK] [UNK] of [UNK] [UNK] [UNK] with a [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] of,[start] that chromatin integrity still play key roles in prostate cancer progression [end],32139297
68,The risk of over-diagnosing ( indicated by all the major American studies is,[start] the most important ongoing studies of the disease [end],[start] real [end],28255369
69,lncRNAs may prohibit,[start] the [UNK] [end],[start] metastatic spread [end],28241429
70,the issues make,[start] the most important role of [UNK] [end],[start] a difference to patients [end],17432554
71,sexual dysfunction resulted,[start] both [UNK] and the risk of lung cancer [end],[start] from radical prostatectomy often [end],8290819
72,men with favorable intermediate - risk prostate cancer may be,[start] still [end],"[start] candidates for active surveillance , dose - escalated radiation therapy without short - term androgen deprivation therapy ( ADT ) , or , interestingly , standard - dose radiation therapy plus short - term ADT [end]",26984216
73,Polygenic risk scores ( PRS ) combining these variants are,[start] important [end],[start] now clinically available [end],31629419
74,The present paper to deliver,[start] a [UNK] of the [UNK] of [UNK] [UNK] [end],[start] new research data [end],28255369
75,endocrine function implicated,[start] in the development of lung cancer [end],[start] by the importance of endocrine function in normal prostatic growth [end],6387660
76,Robot - assisted radical prostatectomy has increased,[start] [UNK] [end],"[start] in popularity although other options exist , including radiotherapy [end]",29549504
77,the lead time associated,[start] with the [UNK] of [UNK] [end],[start] with PSA testing [end],18568350
78,Prostate cancer is,[start] the most common cancer cause of cancer death [end],[start] a disease that presents a wide spectrum from low aggressiveness [end],29633943
79,This event is,[start] a [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] the foremost scientific conference in the world focusing on clinical prostate cancer research with the highest potential for improving the lives of prostate cancer patients [end],27272144
80,The decision about choosing the right treatment has become,[start] a [UNK] [end],[start] pertinent for many patients [end],29549504
81,many men with newly diagnosed prostate cancer may be,[start] [UNK] [end],[start] candidates for active surveillance [end],29580436
82,This meeting report provides,[start] a chance to learn [UNK] [UNK] [UNK] [UNK] [end],[start] a comprehensive summary of the talks [end],31825540
83,HDRBT in prostate cancer can be practiced effectively,[start] in the us [end],[start] within the context of these guidelines with the main indication [end],23773409
84,the rapid progress being made,[start] still [end],[start] in treatment of advanced prostate cancer [end],30925537
85,the recent data supporting the early use of novel androgen receptor inhibitors in advanced prostate aim to frame,[start] to be improved [end],[start] how these drugs may fit within the existing context of docetaxel [end],32209821
86,immunotherapy has offered,[start] in the [UNK] [end],[start] new possibilities to treat metastatic prostate cancer [end],30324354
87,clinically relevant cancers may benefit,[start] in the [UNK] of [UNK] [UNK] in the treatment of gastric cancer [end],[start] from radical treatment [end],18568350
88,the etiologic importance of these is,[start] [UNK] [end],[start] uncertain [ 55 [end],6387660
89,Nurses are,[start] the same disease [end],[start] responsible for ensuring men have the support [end],24754104
90,repeat biopsies performed,[start] in the [UNK] [end],[start] at 4 years in men under AS programs [end],28635333
91,The results of retrospective studies could assist,[start] the ability to reduce [UNK] risk [end],[start] in developing a treatment strategy for advanced prostate cancer [end],29266472
92,Our understanding of the natural history of prostate cancer is progressing,[start] [UNK] [end],[start] over time [end],17432554
93,"checkpoint immunotherapy , next - generation technologies visualize",[start] tumor microenvironment tme and molecular pathology in [UNK] [end],[start] tumor microenvironment ( TME ) and molecular pathology [end],31825540
94,the available evidence regarding,[start] the risk of gastric cancer [end],[start] etiopathogenesis [end],28882782
95,The limitations of these studies include,[start] [UNK] [end],"[start] the assumption that dietary or plasma alpha - linolenic acid levels are positively associated with prostate tissue alpha - linolenic acid levels , and measurement errors of dietary , plasma and red blood cell alpha - linolenic acid levels [end]",15017185
96,a significant amount of patients undergone,[start] [UNK] [UNK] [end],[start] radiotherapy [end],25219826
97,Prostate cancer was,[start] a major cause of the disease [end],[start] the first cancer in which immunotherapy vaccine was approved by FDA in 2010 named Sipuleucel - T. No new immunotherapies have been approved since as phase 3 trials did n't show any improvement in overall survival ( OS ) especially with immune checkpoint inhibitors [end],29860848
98,a revision of the guidelines to update,[start] the same length as levels of [UNK] [end],[start] the findings [end],20414018
99,the pathological Gleason score were,[start] [UNK] [end],[start] independent predictive factors for progression to castration - resistant prostate cancer [end],32500468
100,patients with prostate cancer are not,[start] in the most frequently diagnosed cancers [end],[start] candidates for definitive treatment [end],24274615
101,tumor - intrinsic and tumor - extrinsic mechanisms underlying,[start] gastric cancer [end],[start] therapeutic resistance [end],30181359
102,evidence to guide treatment for these men is lacking,[start] the most important component of the time of patients [end],[start] often [end],26436556
103,immunomodulating agents have demonstrated,[start] a significant effect on the health of the health of breast cancer [end],[start] activity in the treatment of prostate cancer [end],26977847
104,"grading , diagnosis strategies are discussed",[start] in the pathophysiology of specific cardiovascular diseases in the [UNK] [end],[start] in more detail in the subsequent chapters of the companion book [end],30229546
105,This literature review aimed to assess,[start] the current [UNK] [UNK] [UNK] in the past population [end],[start] the current state - of - the - art regarding decisional aids [end],29549504
106,new investigations combining,[start] the [UNK] of the treatment of time [end],[start] these drugs with ketogenic diets [end],30893147
107,The term refers,[start] the most important committee [end],[start] to a heterogeneous group of disease states [end],30521067
108,This review addresses,[start] the [UNK] [UNK] [UNK] [end],[start] future directions [end],32558805
109,cultures derived,[start] from animal models of [UNK] [end],[start] from cancers [end],17939301
110,Widespread implementation of prostate cancer screening in the United States has led,[start] to the major health problem [end],[start] to the phenomenon of stage migration with more cancers [end],17432554
111,Experimental evidence showed,[start] that [UNK] is associated with [UNK] [UNK] [end],[start] that these highly tumorigenic cells might be responsible for progression of cancer into metastatic disease [end],26593898
112,Its clinical heterogeneity divided,[start] by [UNK] [end],[start] by the high - level molecular genetic diversity outline settings [end],29393241
113,This review examines,[start] the clinical trials [end],[start] the major therapy modalities [end],32558805
114,This article aims,[start] to provide the current knowledge of the molecular mechanisms [end],[start] to cover the role of chemotherapy in the latest developments [end],28095710
115,tumor - intrinsic and tumor - extrinsic mechanisms underlying,[start] gastric cancer [end],[start] technological advances focused on disease detection [end],30181359
116,Accumulating evidence indicate,[start] that the risk may be decreased with a high intake of vegetables [end],"[start] that the endocannabinoid system is dysregulated in prostate cancer , suggesting that it has a role in prostate homeostasis [end]",21912423
117,a diagnosis of prostate undergoing,[start] a heterogeneous group of patients with a molecular disease [end],[start] whole - gland treatment [end],32558805
118,The 10 year progression to castration - resistant prostate cancer - free survival rates were,[start] [UNK] [end],[start] 96.7 % [end],32500468
119,Specialised prostate cancer units are,[start] likely to be a major public health problem [end],[start] increasingly common in Europe [end],28170061
120,The frequency of DNA repair gene mutations in patients with prostate cancer make,[start] [UNK] [UNK] [end],[start] it a possible short - term therapeutic strategy with several registering clinical trials ongoing [end],30278883
121,evidence indicates,[start] that the patients with chronic respiratory diseases [end],[start] that factors that influence the incidence of prostate cancer may differ from those [end],19562492
122,The reason of the present review is,[start] the most important [UNK] [end],[start] to provide clinicians with all aspects of a multifactorial co-morbidity [end],19863346
123,second - line chemotherapy using,[start] the risk of gastric cancer [end],[start] cabazitaxel [end],28095710
124,patients affected,[start] by the presence of [UNK] agents [end],[start] by prostate for students to obtain practical information on new diagnostic modalities [end],30229546
125,Its expression in prostate cancer cells is regulated,[start] by [UNK] [UNK] [UNK] [end],[start] by steroid hormones [end],24384911
126,"These advances , along with an improved understanding of the adaptive responses to anti-androgen therapy are catalyzing",[start] in the past 20 years on account of its clinical application advantages such as [UNK] invasive visual line making it,[start] development of more effective therapeutic strategies for advanced disease [end],30181359
127,The CHPCA Meeting is,[start] [UNK] [end],"[start] a unique , discussion - oriented scientific conference convened annually by the Prostate Cancer Foundation ( PCF ) , [end]",30381857
128,checkpoint inhibitors demonstrated,[start] that the patients with high levels of il 8 could potentially have high levels of il 8 [end],[start] in recent clinical trials in refractory prostate cancer [end],31609776
129,many prostate cancer patients living,[start] in the disease [end],[start] longer [end],29961247
130,Key issues for prostate cancer patients are,[start] the most important [UNK] [end],[start] the detection of recurrent disease [end],26728408
131,Such markers could be used,[start] to prevent [UNK] [end],[start] to distinguish those men with truly indolent disease [end],18568350
132,these drugs may fit,[start] the risk of developing complications [end],[start] within the existing context of docetaxel [end],32209821
133,smoking was assessed,[start] in the clinic from the primary sources in human body [UNK] [end],[start] in a relatively short period ( within 10 years prior to cancer mortality [end],19562492
134,men have,[start] a new [UNK] [end],[start] the support they need throughout their cancer journey [end],24754104
135,Adjustments in the administration schedule of the accompanying steroid may improve,[start] the risk of gastric cancer [end],[start] the efficacy of abiraterone [end],30925537
136,More research is needed,[start] to provide the child with the skills necessary to manage diabetes over a lifetime [end],[start] in this area before it can be concluded that there is an association between alpha - linolenic acid and prostate cancer [end],15017185
137,This meeting report provides,[start] a chance to learn [UNK] [UNK] [UNK] [UNK] [end],[start] a comprehensive summary of discussions [end],31825540
138,that path leads,[start] the [UNK] of [UNK] [UNK] in the [UNK] [end],[start] to treating fewer patients in the future [end],17432554
139,overdiagnosis associated,[start] with the disease [end],[start] with the early results of active surveillance [end],18568350
140,AR regulates,[start] [UNK] [end],[start] proliferation [end],24384911
141,Many more patients include,[start] [UNK] [end],[start] patients of higher clinical stage and grade [end],28635333
142,a heterogeneous group of disease states defined,[start] [UNK] [end],[start] currently [end],30521067
143,"""""""""""""""""""""""""""""""Better knowledge of the """""""""""""""""""""""""""""""" stem cell """""""""""""""""""""""""""""""" nature of prostate cancer"""""""""""""""""""""""""""""" will help direct",[start] the [UNK] [end],[start] the molecularly targeted therapies of the near future [end],16520275
144,The present results suggest,[start] that the patients with chronic respiratory diseases experiencing depression [UNK] for [UNK] [end],[start] that the pathological Gleason score were independent predictive factors for progression to castration - resistant prostate cancer [end],32500468
145,molecular pathology in tumor heterogeneity using,[start] a major impact on cardiovascular disease [end],[start] single cells [end],31825540
146,Regular physical activity is,[start] important [end],"[start] an effective way to reduce the side effects of cancer , [end]",30889622
147,the quality of care is outlined,[start] [UNK] [end],[start] in the national clinical guidelines [end],28170061
148,the Prostate Cancer Foundation to produce,[start] [UNK] [end],[start] extensive discussions on the most urgent topics [end],28925066
149,prostate cancer may provide,[start] a major risk of developing lung cancer [end],[start] new direction [end],28056257
150,hypogonadism having,[start] a [UNK] [end],[start] significant morbidity [end],29961247
151,American men results,[start] the same time [end],"[start] in about 30,000 deaths per year in the USA [end]",30324354
152,The 7th Annual CHPCA Meeting was attended,[start] the most important [end],[start] by 86 investigators [end],31825540
153,diet implicated,[start] by the presence of [UNK] [UNK] [UNK] [UNK] [end],[start] by ecologic studies of ethnic variation in rates [end],6387660
154,the current evidence suggests,[start] that the patients with high levels of [UNK] il 8 could potentially have high mortality [end],[start] that the transgender woman should be screened for CaP the same as a nontransgender men [end],28882782
155,prostate cancer using,[start] the disease [end],[start] prostate - specific antigen [end],27825428
156,the main indication being,[start] [UNK] [end],[start] for dose escalation with external beam [end],23773409
157,numerous genetic signaling pathways have been,[start] in [UNK] [end],[start] under preclinical investigations and in clinical trials In the development of CRPC or NEPC [end],32139297
158,several cannabinoids exert,[start] a number of patients with type 1 diabetes [end],[start] antitumoral properties against prostate cancer reducing cell migration [end],21912423
159,Updates to the NCCN Guidelines for Prostate Cancer include,[start] the treatment of type 2 diabetes [end],"[start] further refinements in taking , , use of androgen receptor blockers for nonmetastatic castration - resistant prostate cancer [end]",31117038
160,Its spatial heterogeneity divided,[start] by [UNK] [end],[start] by the high - level molecular genetic diversity outline settings [end],29393241
161,important ongoing studies are shaping,[start] the risk of gastric cancer [end],[start] the pursuit of effective immunotherapy for prostate cancer [end],31609776
162,many therapeutic agents for prostate cancer target,[start] [UNK] [end],[start] the androgen receptor and / or the prostate tumor microenvironment [end],23811619
163,Therapeutic management of metastatic castration - resistant prostate cancer is based,[start] on the [UNK] [end],"[start] on new hormonal therapies ( abiraterone , enzalutamide ) and taxane - type chemotherapy currently [end]",30278883
164,patients affected,[start] by the presence of [UNK] agents [end],[start] by prostate for teachers to obtain practical information on new diagnostic modalities [end],30229546
165,a distinct biology needs,[start] to [UNK] [UNK] [UNK] [end],[start] to be elucidated still [end],30684842
166,the lead time associated,[start] with the [UNK] of [UNK] [end],[start] with the early results of active surveillance [end],18568350
167,Prospective studies are examining,[start] the [UNK] [UNK] [end],[start] sequencing of existing cytotoxic disease [end],29553949
168,a radiopharmaceutical targeting prostate - specific membrane antigen are providing,[start] a higher risk of gastric cancer in men [end],[start] potentially additional treatment options Finally [end],30925537
169,Prostate cancer is,[start] the most common cancer cause of cancer death [end],"[start] the most common , non-dermatologic cancer in men [end]",17321194
170,knowledge of the heterotypic interactions coevolution of cancer cells in the tumor microenvironment has illuminated,[start] the same [UNK] [end],[start] novel therapeutic combinations [end],30181359
171,what biomarkers would indicate,[start] the risk of lung cancer [end],"[start] when resistance arises , would almost certainly improve survival due to these therapies [end]",23811619
172,Progression of this hormone - dependent cancer is driven,[start] by the public health institute of [UNK] [end],[start] by androgens [end],28945566
173,additional research focuses,[start] on the need for a new method of clinical practice [end],[start] on expanding treatment options through development of novel antibody - drug conjugates [end],32209821
174,the prostate - specific membrane antigen is overexpressed,[start] important clinical tools in the treatment of gastric cancer [end],[start] in prostate cancer frequently [end],26728408
175,the majority of patients develops,[start] the [UNK] of the [UNK] of [UNK] [end],[start] a castration - resistant prostate cancer [end],28945566
176,people aged,[start] hundreds of years [end],[start] > 80 years [end],16334137
177,the literature investigating,[start] the current [UNK] effect on the quality of life of diabetes [end],[start] the effects of testosterone on the prostate of exogenous testosterone in men with a history of prostate cancer [end],29961247
178,prostate cancer has,[start] a major health issue in most [UNK] [end],[start] one of the highest heritabilities of all major cancers [end],27986209
179,Polygenic risk scores combining,[start] [UNK] [end],[start] these variants [end],31629419
180,Too much rest can lead,[start] to be useful [end],[start] to a decrease in aerobic fitness [end],30889622
181,Ongoing research into hypofractionated radiation treatment could improve,[start] lung cancer risk in patients [end],[start] cancer control [end],25708578
182,The lethality of advanced disease is driven,[start] by the presence of [UNK] agents [UNK] in [UNK] [UNK] [UNK] in [UNK] [UNK] [UNK] [UNK] [end],[start] by the lack of therapeutic regimens capable of generating durable responses in the setting of extreme tumor heterogeneity on the cell biological levels [end],30181359
183,Purpose of review summarizes,[start] the potential for identifying specific characteristics [end],[start] recent advances in the treatment of metastatic castration - sensitive prostate cancer [end],29553949
184,AR variants signaling,[start] [UNK] [end],[start] their role in resistance to prostate cancer progression [end],28945566
185,tumors grow,[start] [UNK] [end],[start] despite androgen blockade [end],17321194
186,Updates to the NCCN Guidelines for Prostate Cancer include,[start] the treatment of type 2 diabetes [end],[start] further refinements in taking germline [end],31117038
187,The meeting focused,[start] on the need for a new model [end],[start] on topics including : recognition of tumor heterogeneity immunotherapeutic approaches to target [end],30381857
188,This event focuses,[start] on the use of [UNK] [end],[start] on the latest advances in basic [end],28503903
189,primary cancer detected,[start] in [UNK] [end],[start] by PSMA PET - CT imaging [end],28980045
190,salvage treatments aimed,[start] at higher risk for cardiovascular disease [end],[start] at those with local recurrence [end],26436556
191,recent series examining,[start] the [UNK] [end],[start] sequencing of approved therapies while searching for predictive biomarkers [end],32209821
192,The diagnosis of localized prostate cancer is,[start] the most important role in the development of cancer [end],[start] in constant modification [end],20538204
193,the recent data supporting the early use of novel androgen receptor inhibitors in advanced prostate aim to frame,[start] to be improved [end],[start] how these drugs may fit within the existing context of abiraterone [end],32209821
194,brachytherapy are,[start] the same [end],[start] an even more radical modality that can deliver a greater dose of radiation to a localized lesion without affecting the surrounding normal tissue [end],9987501
195,This article aims to cover,[start] the current [UNK] [UNK] [UNK] [UNK] of [UNK] [end],[start] the role of chemotherapy in the latest developments [end],28095710
196,Prostate cancer is,[start] the most common cancer cause of cancer death [end],[start] the fourth leading cause of mortality in Australian men [end],26560323
197,a frequent co-morbidity are underestimated,[start] [UNK] [end],[start] often [end],19863346
198,These objectives apply,[start] to provide the prognostic factors for future research [end],[start] for DNA methylation analysis [end],20538204
199,the talks held,[start] in the [UNK] [end],[start] at the 2019 CHPCA Meeting for the purpose of globally disseminating this knowledge [end],31825540
200,Prostate cancer has now of,[start] [UNK] [end],[start] over 50 years [end],17939301
201,Exclusion criteria are,[start] a [UNK] immune system to the [UNK] immune [UNK] immune [UNK] markers of lung cancer [end],[start] few encompassing patients medically unfit for the procedure [end],23773409
202,future research using animal models to evaluate,[start] the risk of gastric cancer [end],[start] the influence of systemic networks in their antitumoral action [end],21912423
203,Telomere maintenance is,[start] [UNK] [end],[start] critical in the immortalization of prostate cancer cells [end],16520275
204,the development of emerging treatments are promising,[start] for the past 10 years [end],[start] for the future of patients with prostate cancer [end],24274615
205,multivariate Cox proportional hazards regression analyses to identify,[start] the association between polypharmacy and all cause of all cause of cancer mortality [end],[start] independent predictors of biochemical recurrence [end],32500468
206,metastasis - directed therapies are emerging,[start] in the past [end],[start] as valid treatment options able to postpone systemic therapies [end],30684842
207,cancer death in American men results,[start] the most important [UNK] [end],"[start] in about 30,000 deaths per year in the USA [end]",30324354
208,1690 prostate cancer cases among,[start] [UNK] [UNK] [end],[start] 178 men [end],27879495
209,Recent evidence supports,[start] the risk of gastric cancer [end],[start] a synergistic relationship between immunotherapy agents [end],26977847
210,treatment strategies for patients with advanced prostate cancer have evolved,[start] the disease [end],[start] During the past decade extensively [end],29266472
211,the foremost scientific conference in the world focusing,[start] on the [UNK] [end],[start] on basic [end],27272144
212,This event is,[start] a [UNK] [UNK] [UNK] [UNK] [UNK] [UNK] [end],[start] the foremost scientific conference in the world focusing on translational [end],27272144
213,This review addresses,[start] the [UNK] [UNK] [UNK] [end],[start] the link between chronic prostatitis and prostate cancer especially as it relates to clinical practice [end],18765133
214,Its incidence increases,[start] the [UNK] [end],[start] with age [end],31466098
215,"Accurate staging of the volume , especially in metastatic prostate cancer can help",[start] to prevent the disease [end],[start] to tailor the timing [end],30374609
216,The treatment of prostate cancer with remote metastases has advanced greatly,[start] [UNK] [UNK] [UNK] [end],[start] in recent years [end],28597635
217,Many men die,[start] [UNK] [end],[start] from prostate cancer each year and many more live with non-cancerous [end],22470904
218,the side effects to be noted,[start] thoroughly [end],[start] in endocrine therapy [end],30374010
219,miRNAs in their mechanisms contribute,[start] to the development of lung cancer [end],[start] to prostate carcinogenesis [end],26415820
220,"Micronutrients , including the carotenoid lycopene may play",[start] a major component of the evaluation of a special event in the general [end],[start] a role in prostate cancer prevention [end],30893147
221,Outlier genes identified in prostate cancer include,[start] [UNK] [end],[start] SPINK1 [end],27728977
222,many morphological similarities with the human prostate are,[start] [UNK] [end],[start] the only other large mammals that commonly develop spontaneous prostate cancer [end],18786842
223,The cause of prostate cancer is,[start] a major cause of the disease [end],[start] multifocal [end],18765133
224,Such markers to distinguish,[start] the [UNK] of [UNK] [UNK] [end],[start] those men with truly indolent disease [end],18568350
225,three different broad categories are,[start] different [UNK] [end],[start] checkpoint inhibitors [end],30324354
226,Prostate cancer is,[start] the most common cancer cause of cancer death [end],[start] the most common cancer in men [end],31466098
227,Some WNT signalling inhibitors are,[start] [UNK] [UNK] [end],[start] in phase [end],28895566
228,These patients may require,[start] a significant effect [end],[start] long - term ADT in addition to standard - dose or dose - escalated radiation therapy [end],26984216
229,novel biomarkers may guide,[start] the most important prognostic factor which the biological clinical how useful in the world s most recent survey of [UNK],[start] precision medicine in the near future [end],28635333
230,The natural history of untreated low - risk localised prostate cancer has not been well studied,[start] in the past 20 years on account of its clinical application advantages such as [UNK] invasive visual clinical the standard,[start] partly because it is a relatively recent entity [end],18568350
231,the impact of receiving a bilateral orchiectomy on disease development are,[start] [UNK] [UNK] [end],[start] unclear [end],28882782
