,Subj_Pred,Obj,Obj_true,PMID
53,LCINS is,[start] a major goal of improving understanding for the natural history of the primary care systems of the most common malignancy,[start] more frequent in women irrespective of geographical location [end],21992731
54,standard lobectomy is,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] the treatment of choice [end],12450555
55,reviews about the mechanisms of how CFs exposure leads to lung cancer are lacking,[start] to be improved including meeting records presently [end],[start] still [end],28956747
56,New understanding of the biologic process of lung cancer is providing,[start] a significant association between hpylori and crds [end],[start] potential new therapies that many hope will lead to increased survival for patients with lung cancer [end],12692661
57,the human microbiota may be closely related,[start] to a systematic review of the skills necessary to manage diabetes over a lifetime [end],[start] to lung cancer at multiple levels [end],31315786
58,New imaging techniques have improved,[start] a significant association between hpylori and crds [end],[start] staging practices [end],18460729
59,Lung cancer is becoming,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] a real epidemic in one of the main causes of cancer death in women [end],17117325
60,New options to potentially detect will increase dramatically,[start] by european groups [end],[start] in the future [end],12450555
61,The two major histologic types of lung cancer are,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] non-small cell lung cancer [end],21986264
62,researchers are devoting,[start] a significant association between hpylori and crds [end],[start] energies in this area in order [end],18922127
63,Their long - time survival post curative resection in early stage non-small-cell lung cancer is,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] better than in men [end],25906024
64,Smoking is by far,[start] a major goal of improving understanding for the natural history of the most promising positive antibodies [end],[start] the most important cause [end],18460729
65,a complementary tool aimed,[start] to be improved including meeting records presently [end],[start] at ruling out ( with known error probability ) rather than diagnosing lung cancer [end],21405971
66,Lung cancer outcomes may be,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] worse in HIV - infected persons in the antiretroviral era [end],27607596
67,Randomized trials on surgical resection in patients with limited stage disease did not support,[start] the greatest potential for the time [end],[start] a role for surgery in disease management when treatment were inadequate [end],26520187
68,an estimated 1.6 million deaths being,[start] by the presence of the inflammatory nature of lung cancer [end],[start] the leading cause of cancer - related deaths in the world [end],29425790
69,Initial evaluation for metastatic disease relies,[start] on the chain of potential [end],[start] on patient history [end],17225705
70,stigma detrimentally affects,[start] respiratory clinicians involved in care setting [end],[start] psychosocial [end],29800746
71,the diagnosis of lung cancer in China to promote,[start] the most promising biomarker panels allowing breast cancer metastasis [end],[start] mutual understanding [end],8069599
72,few relationships in the epidemiology of cancer between an exposure and disease are,[start] a major goal of improving understanding for practice [end],[start] as consistent as those [end],10855253
73,Research on the use of sputum for non-invasive detection of early - stage lung cancer has brought,[start] us to allow the patients with chronic respiratory diseases [end],[start] new advanced molecular techniques [end],23868001
74,The human microbiome confers,[start] a major goal of improving understanding for the natural history of the most recent years [end],[start] benefits or disease susceptibility to the human body [end],31315786
75,Interventions need,[start] to be improved including meeting records presently [end],[start] to be developed to support both patients [end],22308553
76,no comprehensive reviews available discusses,[start] the most promising biomarker panels allowing breast cancer metastasis [end],[start] all the basic aspects of lung cancer [end],24639115
77,Lung cancer heterogeneity has,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] implications in therapeutic decision [end],29635240
78,A better understanding of the differences between men and women and their impact on the diagnosis requires,[start] a significant association between hpylori and crds [end],[start] continued basic [end],17084482
79,molecular diagnostic techniques correlated,[start] with the goal of improving understanding for the natural history of colorectal cancer [end],[start] with molecular abnormalities in lung cancer [end],22540298
80,Lung cancer to be considered,[start] for the development of a predominant factor was found to be infection of helicobacter pylori advances in the deranged signalling,[start] in patients with a history of cigarette smoking and / or symptoms such as haemoptysis or non-resolving cough [end],9251697
81,The purpose of this review is,[start] to assess the relationship between diet and apoptosis [end],[start] to summarize our current knowledge of this disease [end],23921082
82,quite a few patients will have,[start] a significant association between hpylori and crds [end],[start] distant metastasis after surgery [end],32283581
83,Adenocarcinomas are,[start] a significant difference in the two spirometers [end],[start] more frequently in women than in men [end],25906024
84,Numerous potential DNA biomarkers such as hypermethylations of mutations in p53 have been discovered,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] as lung cancer biomarkers [end],18823584
85,reports on the abscopal effect following conventional radiation have been,[start] a major goal of improving understanding for practice [end],[start] relatively rare Over the past 40 years [end],31826745
86,Micro-ribonucleic acids are,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] responsible for invasion of various tumors including lung cancer [end],28118799
87,well - conceptualized efforts have,[start] the potential benefits mechanisms of applications of inhaled antibiotics for the management of colorectal cancer [end],[start] the potential to facilitate demonstrable improvements in quality of life [end],29800746
88,the specific elements for lung cancer could make,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] a screening program safe [end],15209187
89,early detection to achieve,[start] a major goal of improving understanding for practice [end],[start] the best chance of a cure [end],9251697
90,"Methods for early detection of lung cancer , such as computerized tomography scanning technology discover",[start] a major goal of improving understanding for the management of gastric cancer [end],[start] a large number of small lung nodules posing a new problem to chest physicians often [end],21405971
91,Chinese Anti-Cancer Association jointly publish,[start] the association between polypharmacy and all cause of cancer related deaths in the united states [end],[start] this consensus to provide guidance for Chinese clinicians [end],31874543
92,preoperative adjuvant therapy may be,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] necessary [end],32283581
93,Precise and early diagnosis of the disease can be,[start] a major goal of improving understanding for the natural history of the primary care [end],[start] an important step in the proper setting up of the treatment modalities [end],24639115
94,its role extends,[start] a major goal of improving understanding for practice [end],[start] to the determination of cell lineage ascertaining the primary site of tumour origin now [end],21734416
95,Lung cancer is,[start] a major goal of improving understanding for the most prevalent [end],"[start] the most common fatal malignancy in women , both elsewhere in the world [end]",11473242
96,about two - thirds of patients are diagnosed,[start] with the goal of improving understanding for the natural history of colorectal cancer [end],[start] with extensive stage disease when thoracic irradiation is not worthwhile [end],26520187
97,the larger societal structure shapes,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] decisions [end],29800746
98,Robotics are used,[start] to be improved including meeting records presently [end],[start] in wedge resection [end],31351552
99,Mortality data from European screening studies have not been encouraging,[start] for analyzing the etiology of t1dm [end],[start] so far [end],25901560
100,Interstitial lung disease is,[start] a major goal of improving understanding for the natural history of the primary care [end],[start] a risk factor for lung cancer [end],32316717
101,Further analyses of molecular footprints in lung cancer cells will give us to understand,[start] the most promising biomarker panels allowing breast cancer metastasis [end],[start] the process to find novel ways of controlling it [end],15016317
102,intense interest has been focused,[start] on the chain of potential [end],[start] on biomarker discovery Over a last decade [end],18823584
103,Studies on the epidemiologic characteristics of lung cancer have played,[start] a major goal of improving understanding for the role of the treatment of colorectal cancer [end],[start] an important role in exploring new ways of diagnosis [end],27261907
104,situ or microinvasive carcinoma located centrally could be cured,[start] to a decrease in the number of clinical practice of clinical trials currently [end],[start] by photodynamic therapy [end],22810461
105,these modalities are not,[start] by european groups [end],[start] yet commercially available in clinic setting [end],25108403
106,CFs exposure may lead,[start] to a major reappraisal of management outcomes in patients with type 2 diabetes [end],[start] to lung cancer [end],28956747
107,The difference is,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] important for therapy [end],16792198
108,recent studies suggest,[start] that the aberrant expression of lung cancer stem cells exert some other industrial workers in the field of the deranged,[start] that it may be efficacious in HIV - infected smokers [end],27607596
109,LC - ILD patients have,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] a certain proportion in the clinic [end],32316717
110,Future studies on LCINS should try,[start] a significant association between hpylori and crds [end],[start] to tackle the issues of prevention [end],21992731
111,Nontobacco risk factors include,[start] respiratory clinicians [end],[start] occupational chronic lung disease [end],32008623
112,the approach of targeted therapy has been,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] successful for adenocarcinomas So far [end],29251665
113,National Lung Screening Trial demonstrated,[start] a significant difference in the same time [end],[start] a 20 % mortality rate reduction in patients [end],29425790
114,Lung cancer is,[start] a major goal of improving understanding for the most prevalent [end],"[start] the leading cause of cancer death in China , with 733 610 thousands deaths in 2015 [end]",31874543
115,Further analyses of molecular footprints in lung cancer cells will give,[start] substantially between eastern and western countries owing to numerous factors including government incentives to carry out population wide screening programmes,[start] us valuable information to fully understand the process of lung cancer progression [end],15016317
116,New imaging techniques have improved,[start] a significant association between hpylori and crds [end],[start] diagnosis practices [end],18460729
117,A better understanding of the differences between men and women and their impact on the diagnosis requires,[start] a significant association between hpylori and crds [end],[start] continued clinical research [end],17084482
118,This review will explore,[start] the potential benefits mechanisms of applications of inhaled antibiotics for the management of colorectal cancer [end],"[start] the biological characteristics in accord with three important criteria of high sensitivity ( high specificity ) , clinical utility , especially a new method of ligand - targeted PCR ( LT - PCR ) that showed a high sensitivity of 67.2 % in stage I lung cancer [end]",26706955
119,Additional molecular targets are addressed,[start] a major goal of improving understanding for practice [end],[start] in clinical trials [end],29251665
120,Method summarized,[start] a significant association between hpylori and crds [end],[start] all review articles in databases including Scopus [end],30088452
121,the chest wall is dependent on,[start] a major goal of improving understanding for the natural history of the primary care [end],[start] completeness [end],28363374
122,complete remission is achieved,[start] as a model in the primary care setting of the clinical presentation of the best cardiovascular disease [end],[start] at the primary site [end],15822487
123,Presented in this paper are,[start] a significant association between hpylori and crds [end],[start] the epidemiology of lung cancer in China [end],8069599
124,the multidisciplinary team ( MDT ) treatment brings,[start] the most studied tree nut [end],[start] lots of benefits for cancer patients [end],33113622
125,Nontobacco risk factors include,[start] respiratory clinicians [end],[start] environmental chronic lung disease [end],32008623
126,Risk factors for the development of lung cancer include,[start] respiratory muscle function test maximal peak expiratory flow maximal peak flow at the resected specimen [end],"[start] second - hand smoking , radon exposure , occupational exposure to carcinogens [end]",23921082
127,non-small cell lung cancer und,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] small cell lung cancer [end],16792198
128,significant others go,[start] on the chain of potential [end],[start] through a transition process due to changes [end],22308553
129,This abnormal expression related,[start] to a systematic review of the skills necessary to manage diabetes over a lifetime reduction in the same time [end],[start] to malignancy of tumors [end],31451145
130,New options to treat early stage lung cancer will increase dramatically,[start] to be formulated for the disease [end],[start] in the future [end],12450555
131,Overestimation of the frequency has contributed,[start] to be improved including meeting records presently [end],[start] to long delays in implementation of lung cancer screening programs [end],24037999
132,individualized management of lung cancer patients are,[start] a significant difference in the two spirometers [end],[start] particularly important during virus epidemic control [end],32213266
133,The frequency of multicentricity is,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] high [end],22810461
134,Future studies on LCINS should try,[start] a significant association between hpylori and crds [end],[start] to tackle the issues of the exploration of novel therapeutic targets [end],21992731
135,the primary contributing,[start] to be improved including meeting records presently [end],[start] to decisions on prognosis [end],21734416
136,A high proportion of screen - detected cancers are,[start] in a few years [end],[start] early stage [end],12450555
137,Curative radiotherapy is recommended,[start] for a distressingly large proportion of death in the national health commission revised it in the annual decline in the,[start] in patients with a resectable tumor [end],72894
138,Future studies on LCINS should try to tackle,[start] the greatest promise for the prevention of gastric cancer [end],[start] the issues of prevention [end],21992731
139,Patients with lung cancer are,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] more likely have better response to its inhibitors than do patients with tobacco - associated lung cancer [end],18598932
140,spiral computerised tomography can detect more effectively,[start] by the presence of the inflammatory nature of asthma [end],[start] Recently [end],12517539
141,Other factors reported are,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] infections Mycobacterium tuberculosis [end],23921082
142,screening has,[start] a significant association between hpylori and crds [end],[start] interested physicians [end],17225705
143,A small minority of patients to down stage,[start] a vignette with a high intake of fruit [end],[start] the tumor to render it potentially operable [end],15822487
144,A better delineation of the relationships between these three entities may lead,[start] to a systematic review of systematic reviews using the flowchart to select studies [end],"[start] to significant improvements in the effectiveness of lung cancer screening programs , and to reductions in the morbidity [end]",28205188
145,Lung cancer is,[start] a major goal of improving understanding for the most prevalent [end],[start] the leading cause of cancer - related death in the world [end],15016317
146,Lung cancer management has,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] a multidisciplinary approach which includes clinicians now [end],21734416
147,This review focuses,[start] on the chain of potential [end],[start] on the basic aspects of lung cancer like the risk factors [end],24639115
148,The increased specificity should lead,[start] to a systematic review of systematic reviews using the flowchart to select studies [end],[start] to better activity [end],21541198
149,This article reviews,[start] the potential benefits mechanisms of applications of inhaled antibiotics for the management of colorectal cancer [end],[start] the role [end],31771743
150,the distress associated,[start] with the increased risk of lung cancer [end],[start] with lung cancer [end],22308553
151,Future work should focus,[start] on the chain of potential [end],[start] on smoking cessation better understanding disease treatment strategies in nonsmokers [end],32008623
152,the two - thirds of the patients die,[start] by european groups [end],[start] from original disease within 10 years [end],22810461
153,Numerous potential DNA biomarkers such as hypermethylations of the promoters in protein biomarkers have been discovered,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] as lung cancer biomarkers [end],18823584
154,tobacco smoking is,[start] a major goal of improving understanding for the most prevalent [end],[start] the cause in vast majority of cases [end],15822487
155,targeted therapy is directed,[start] for the treatment of type 2 diabetes mellitus [end],[start] towards certain molecular alterations in a given tumor [end],29251665
156,Future work should focus,[start] on the chain of potential [end],[start] on smoking cessation campaigns [end],32008623
157,screened patients required,[start] to be improved including meeting records presently [end],[start] controlled follow - up in experienced centers [end],23194039
158,The prevalence of lung cancer is,[start] a major goal of improving understanding for the natural history of the primary care systems [end],"[start] 4 to 6 times greater when smokers have airflow obstruction than with normal airflow , when all other background factors , including occupational risk , are the same [end]",11473242
159,surgery is,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] at risk in some patients because of a high incidence of second primary lung cancers [end],8965366
160,"Methods for early detection of lung cancer , such as computerized tomography scanning technology discover",[start] a major goal of improving understanding for the management of gastric cancer [end],[start] a large number of small lung nodules posing a new problem to radiologists often [end],21405971
161,Other known environmental risk factors include,[start] insulin resistance [end],[start] exposures to ionizing radiation [end],26667337
162,The prevalence of chest wall invasion by non-small cell lung cancer is,[start] a major goal of improving understanding for the natural history of the most frequently [end],[start] 10 % in published surgical series [end],28363374
163,This review highlights,[start] the association between polypharmacy and all cause of all cause of cancer related deaths in the world [end],[start] the major advances in treatments with systemic targeted therapies [end],29700092
164,the current therapeutic methods can not meet,[start] the greatest promise for the prevention of gastric cancer [end],[start] the needs of MPLC individualized demand of treatment [end],26706954
165,the treatment of lung cancer in China to promote,[start] the most promising biomarker panels allowing breast cancer metastasis [end],[start] mutual understanding [end],8069599
166,these alterations can be regarded,[start] for the study [end],[start] as molecular footprints [end],15016317
167,The landmark National lung screening trial showed,[start] a major goal of improving understanding for the association with chronic respiratory diseases [end],[start] a 20 % relative reduction in mortality in high - risk individuals with screening low - dose computed tomography [end],25108403
168,a missed diagnosis of viral pneumonia may occur,[start] in the clinic [end],[start] due to the fever and respiratory symptoms [end],32213266
169,Future studies on LCINS should try to tackle,[start] the greatest promise for the prevention of gastric cancer [end],[start] the issues of early diagnosis [end],21992731
170,A large number of researchs indicated,[start] that the favorable effects of environmental factors such as chronic respiratory diseases [end],[start] that tumor mutation burden ( TMB ) may be an independent predicted biomarker with limitations [end],31196372
171,Diagnostic challenges are related,[start] to a decrease in the number of clinical practice of clinical trials currently [end],[start] to the development of molecular histological characterizations of lung cancer [end],29635240
172,Numerous potential DNA biomarkers such as hypermethylations of mutations in K - ras have been discovered,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] as lung cancer biomarkers [end],18823584
173,high morbidity seriously affects,[start] the clinical setting [end],[start] human health [end],31771743
174,sputum cytology shows,[start] that the aberrant expression of lung cancer stem cells exert some other industrial workers in the field of the deranged,[start] atypical epithelial cells implying malignancy [end],22810461
175,Preclinical studies based on lung cancer cell lines suggest,[start] a significant difference in the same time [end],[start] that the intestinal microbiota can modulate responses to anti- - PD - 1 therapy through interactions with the host immune system [end],31315786
176,More women suffer,[start] by the presence of the inflammatory nature of lung cancer [end],[start] from lung cancer [end],25906024
177,Interventions need,[start] to be improved including meeting records presently [end],[start] to be developed to support carers [end],22308553
178,"the aberrant expression of miRNAs in cancer patients provides numerous underlying merits as diagnostic , clinical prognostic markers providing",[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] an insight into the clinical application for lung cancer [end],23496233
179,lung cancer accounts,[start] for the study [end],[start] for about 22 % of all cancer deaths [end],24067269
180,Lung cancer heterogeneity has,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] implications in diagnosis [end],29635240
181,Postsurgical mortality has declined,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] from the early days of the 1950s [end],15961694
182,its role extends,[start] a major goal of improving understanding for practice [end],[start] to the determination of cell lineage ascertaining the primary now [end],21734416
183,published surgical series the,[start] by the presence of the entire community through the national health commission revised it in the delivery of quality of,[start] 10 % [end],28363374
184,lung cancer surpassed,[start] a major goal of improving understanding for the natural history of the primary care [end],[start] breast cancer to become the leading cause of cancer death in women in the United States In 1986 [end],8724218
185,cigarette smoking accounts,[start] for the treatment of type 2 diabetes mellitus [end],[start] for the vast majority of lung cancer cases in women [end],8724218
186,CFs exposure leads,[start] to a major reappraisal of management outcomes in patients with type 2 diabetes [end],[start] to lung cancer [end],28956747
187,Treatment Committee jointly publish,[start] the association between polypharmacy and all cause of cancer related deaths in the united states [end],[start] this consensus [end],33113622
188,Numerous potential DNA biomarkers such as hypermethylations of the promoters in K - ras have been discovered,[start] a major goal of improving understanding for practice [end],[start] as lung cancer biomarkers [end],18823584
189,different kinds of them to delineate,[start] respiratory clinicians involved in care setting [end],[start] their significance in lung cancer diagnosis [end],28118799
190,"Family history of lung cancer , personal history of lung disease ( e.g. asthma , chronic bronchitis , pneumonia , or tuberculosis ) , and a history of radiotherapy to be associated",[start] a major goal of improving understanding for the natural history of the most common cancer [end],[start] with increased risk [end],8724218
191,Smoking cessation are,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] likely to benefit HIV - infected smokers [end],27607596
192,Whilst research into symptoms has,[start] the potential benefits mechanisms of applications of inhaled antibiotics for the management of colorectal cancer [end],[start] enormous potential for the management of symptom clusters [end],22308553
193,one acknowledges,[start] the inclusion criteria [end],[start] the complexity of the experience of symptom clusters from the perspective of the patient [end],22308553
194,European studies have contributed significantly,[start] to a systematic review of the skills necessary to manage diabetes over a lifetime [end],[start] to the understanding of lung cancer screening [end],25901560
195,"the diagnosis , in about 70 % of cases is made",[start] by the presence of the airways [end],[start] when metastases have occurred [end],18460729
196,Adjuvant testing with PET imaging has a low yield for these small indeterminate nodules carries,[start] a major goal of improving understanding for the natural history of the primary care [end],[start] potential morbidity [end],21405971
197,Its mechanisms include,[start] insulin resistance [end],[start] activating adenosine monophosphate - activated protein kinase pathway [end],32316716
198,The use of immunotherapy in the treatment of lung cancer is,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] still under evaluation [end],72894
199,Malignant conversion of CAFs phenotype is closely related,[start] to a promising positive family history of cardiovascular disease [end],[start] to the tumor evolution [end],22681927
200,Future innovations affecting the surgical treatment of lung cancer include,[start] respiratory muscle function test [end],[start] oncogenomics [end],31351552
201,Further clinical progress will require,[start] the most promising biomarker panels allowing breast cancer metastasis [end],[start] a better understanding of the molecular interactions within cancer cells [end],29251665
202,Low - dose spiral computed,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] tomography screening by 20 % [end],23194039
203,all subtypes of non-small cell lung cancer have historically targeted,[start] a significant association between hpylori and crds [end],[start] therapeutic strategies [end],14641911
204,Therapies with antibodies have introduced,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] a new era in cancer therapy with impressive therapeutic benefits [end],29251665
205,Nurses play,[start] a multisector strategy that cuts mortality through quality health care services [end],[start] an integral role throughout the trajectory of illness for women with lung cancer [end],18222146
206,Chemotherapy offers,[start] a significant association between hpylori and crds [end],[start] modest survival improvement for patients with non-small cell lung cancer [end],15961694
207,smoking cessation programmes would offer,[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] a chance to detect early stages of the disease [end],29425790
208,The significance of cancer morbidity in China holds,[start] a significant association between hpylori and crds [end],[start] 1/4 of the population on the globe [end],8069599
209,Increasing studies found,[start] on the chain of potential [end],[start] that the expression of several circRNAs in tumors were abnormal [end],31451145
210,atypical epithelial cells implying,[start] from the dutch belgian randomized lung cancer [end],[start] malignancy [end],22810461
211,low - dose computed,[start] us 150179 for budesonide representing respectively 40 15 209 of per capita income in malawi [end],[start] tomographic scans for small peripheral adenocarcinomas [end],11473242
212,nurses are,[start] a significant association between hpylori and crds [end],[start] familiar with the rationale behind biologic therapies [end],12692661
213,"Nearly 225,000 new lung cancer patients are reported",[start] a major goal of improving understanding for the treatment of the treatment of colorectal cancer [end],[start] annually in the USA [end],24639115
214,The aim of this paper was,[start] to assess the relationship between diet and apoptosis [end],[start] to discuss the differentiation between MPLC [end],29790681
